name,domain,country,state,city,employees,revenue,founded_year,type,employees_num,revenue_num,founded_year_num,main_industry,categories_list,category_primary
Red Bull,redbull.com,Austria,Salzburg,Fuschl am See,over-10K,over-1b,1987.0,private,12000.0,1500000000.0,1987.0,media and internet,"['b2c', 'media']",B2C
Garmin,garmin.com,United States,Kansas,Olathe,over-10K,over-1b,1989.0,public,12000.0,1500000000.0,1989.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
Verisure,verisure.fi,Finland,Uusimaa,Helsinki,Unknown,Unknown,Unknown,private,3000.0,600000000.0,,business services,['b2c'],B2C
Carrier Vibrating Equipment,carriervibrating.com,United States,Kentucky,Louisville,51-200,10m-50m,1950.0,private,125.5,30000000.0,1950.0,manufacturing,['b2b'],B2B
Thermolite,thermolitewindows.com,United States,Florida,Largo,1-10,10m-50m,1979.0,private,5.5,30000000.0,1979.0,construction,"['b2b', 'b2g']",B2B
HP,hp.com,United States,California,Palo Alto,over-10K,over-1b,1962.0,public,12000.0,1500000000.0,1962.0,manufacturing,"['b2b', 'b2c']",B2B
RCO,rco.se,Sweden,Stockholm County,Solna,51-200,50m-100m,1976.0,public,125.5,75000000.0,1976.0,business services,"['b2b', 'b2g']",B2B
Mapex,mapexdrums.com,Taiwan,Unknown,Unknown,1-10,Unknown,Unknown,Unknown,5.5,600000000.0,,manufacturing,"['b2c', 'b2b', 'service-provider']",B2C
Znaki 154,znaki154.ru,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,manufacturing,['b2b'],B2B
Bojeux,bojeux.com,Canada,Quebec,Unknown,Unknown,1m-10m,1976.0,Unknown,3000.0,5500000.0,1976.0,manufacturing,"['b2c', 'e-commerce']",B2C
Itinerance,itinerance.org,France,Provence-Alpes-Côte-d’Azur,Marseille,1-10,Unknown,2018.0,nonprofit,5.5,600000000.0,2018.0,organizations,"['b2b', 'service-provider']",B2B
2LBin,2lbin.com,United States,Oklahoma,Mustang,1-10,Unknown,Unknown,private,5.5,600000000.0,,retail,['b2b'],B2B
Crepower,crepowerbatt.com,China,Guangdong,Huizhou,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,manufacturing,['b2b'],B2B
Sonos,sonos.com,United States,California,Goleta,1K-5K,over-1b,2002.0,public,3000.0,1500000000.0,2002.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
Lenovo,lenovo.com,United States,North Carolina,Morrisville,over-10K,over-1b,2005.0,public,12000.0,1500000000.0,2005.0,manufacturing,"['b2b', 'b2c', 'e-commerce']",B2B
Arduino,arduino.cc,Italy,Lombardy,Monza,501-1K,10m-50m,2005.0,private,251000.0,30000000.0,2005.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
Adafruit,adafruit.com,United States,New York,Unknown,51-200,10m-50m,2005.0,self-owned,125.5,30000000.0,2005.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
Belkin,belkin.com,United States,California,Unknown,1K-5K,200m-1b,1983.0,private,3000.0,600000000.0,1983.0,manufacturing,"['b2c', 'e-commerce']",B2C
Nintendo,nintendo.com,Germany,Hesse,Frankfurt am Main,5K-10K,over-1b,1889.0,public,7500.0,1500000000.0,1889.0,manufacturing,['b2c'],B2C
Seagate,seagate.com,United States,California,Fremont,over-10K,over-1b,1979.0,public,12000.0,1500000000.0,1979.0,manufacturing,"['b2b', 'b2c']",B2B
LG Electronics,lg.com,South Korea,Seoul,Seoul,over-10K,over-1b,1958.0,public,12000.0,1500000000.0,1958.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
Printful,printful.com,United States,North Carolina,Charlotte,501-1K,50m-100m,2013.0,private,251000.0,75000000.0,2013.0,business services,"['b2b', 'service-provider', 'saas']",B2B
Blackmagic Design,blackmagicdesign.com,United States,California,Fremont,501-1K,200m-1b,1984.0,private,251000.0,600000000.0,1984.0,manufacturing,"['b2b', 'media']",B2B
Sony,sony.com,Japan,Tokyo,Tokyo,over-10K,over-1b,1946.0,public,12000.0,1500000000.0,1946.0,manufacturing,"['b2c', 'b2b', 'media']",B2C
AMD,amd.com,United States,California,Santa Clara,over-10K,over-1b,1969.0,public,12000.0,1500000000.0,1969.0,manufacturing,"['b2b', 'b2c', 'saas']",B2B
Nokia,nokia.com,Finland,Uusimaa,Espoo,over-10K,over-1b,2006.0,public,12000.0,1500000000.0,2006.0,business services,"['b2b', 'b2g', 'saas']",B2B
Logitech G,logitechg.com,Switzerland,Vaud,Lausanne,201-500,10m-50m,2006.0,public,350.5,30000000.0,2006.0,retail,"['b2c', 'e-commerce']",B2C
TP-Link,tp-link.com,United States,North Carolina,Morrisville,over-10K,over-1b,1996.0,private,12000.0,1500000000.0,1996.0,manufacturing,"['b2c', 'b2b', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2C
Shapeways,shapeways.com,United States,New York,Unknown,51-200,10m-50m,2007.0,private,125.5,30000000.0,2007.0,business services,"['b2b', 'b2c', 'service-provider']",B2B
NREL,nrel.gov,United States,Colorado,Golden,1K-5K,200m-1b,1977.0,nonprofit,3000.0,600000000.0,1977.0,business services,"['b2g', 'saas']",B2G
Broadcom,broadcom.com,United States,California,San Jose,over-10K,Unknown,1991.0,Unknown,12000.0,600000000.0,1991.0,manufacturing,['b2b'],B2B
Qualcomm,qualcomm.com,United States,California,San Diego,over-10K,over-1b,1985.0,public,12000.0,1500000000.0,1985.0,manufacturing,"['b2b', 'mobile']",B2B
Fender,fender.com,United States,California,Hollywood,1K-5K,200m-1b,1946.0,private,3000.0,600000000.0,1946.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
Brother,brother-usa.com,United States,California,Duarte,1K-5K,over-1b,1954.0,private,3000.0,1500000000.0,1954.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
CHANEL,chanel.com,United Kingdom,England,London,over-10K,over-1b,1883.0,private,12000.0,1500000000.0,1883.0,retail,['b2c'],B2C
Lockheed Martin,lockheedmartin.com,United States,Maryland,Bethesda,over-10K,over-1b,1912.0,public,12000.0,1500000000.0,1912.0,manufacturing,['b2g'],B2G
Patagonia,patagonia.com,United States,California,Ventura,1K-5K,over-1b,1973.0,private,3000.0,1500000000.0,1973.0,manufacturing,"['b2c', 'e-commerce']",B2C
Fujifilm,fujifilm.com,Japan,Tokyo,Tokyo,1K-5K,over-1b,1962.0,public,3000.0,1500000000.0,1962.0,manufacturing,"['b2b', 'b2c', 'e-commerce']",B2B
STMicroelectronics,st.com,Monaco,Unknown,Unknown,over-10K,over-1b,1987.0,public,12000.0,1500000000.0,1987.0,manufacturing,"['b2b', 'saas']",B2B
BIPM,bipm.org,France,Île-de-France,Sèvres,51-200,1m-10m,1875.0,nonprofit,125.5,5500000.0,1875.0,business services,"['b2g', 'service-provider']",B2G
Coca-Cola,coca-cola.com,United States,Georgia,Atlanta,over-10K,over-1b,1944.0,public,12000.0,1500000000.0,1944.0,manufacturing,['b2c'],B2C
Thales,thalesgroup.com,France,Île-de-France,Paris,over-10K,over-1b,1893.0,public,12000.0,1500000000.0,1893.0,business services,"['b2g', 'b2b', 'b2c', 'saas']",B2G
Waymo,waymo.com,United States,California,Mountain View,1K-5K,over-1b,2009.0,private,3000.0,1500000000.0,2009.0,business services,"['b2c', 'b2b', 'service-provider']",B2C
Dolby,dolby.com,United States,California,San Francisco,1K-5K,over-1b,1965.0,public,3000.0,1500000000.0,1965.0,manufacturing,['b2b'],B2B
Fortinet,fortinet.com,United States,California,Sunnyvale,over-10K,over-1b,2000.0,public,12000.0,1500000000.0,2000.0,manufacturing,['b2b'],B2B
Roku,roku.com,United States,California,Los Gatos,11-50,10m-50m,2002.0,public,30.5,30000000.0,2002.0,manufacturing,"['b2c', 'media']",B2C
Crocs,crocs.com,United States,Colorado,Broomfield,5K-10K,over-1b,2002.0,public,7500.0,1500000000.0,2002.0,retail,"['b2c', 'e-commerce']",B2C
Maple Yo Bamboo Sunglasses,shopee.tw,Taiwan,Unknown,Unknown,1-10,Unknown,2018.0,self-owned,5.5,600000000.0,2018.0,retail,"['b2c', 'e-commerce']",B2C
Freedom Scientific,freedomscientific.com,United States,Florida,Clearwater,51-200,1m-10m,2000.0,private,125.5,5500000.0,2000.0,manufacturing,"['b2c', 'b2b', 'e-commerce', 'service-provider']",B2C
UL,ul.com,United States,Illinois,Northbrook,over-10K,over-1b,1894.0,private,12000.0,1500000000.0,1894.0,business services,['b2b'],B2B
FOREO,foreo.com,Sweden,Stockholm County,Stockholm,501-1K,over-1b,2013.0,private,251000.0,1500000000.0,2013.0,manufacturing,"['b2c', 'e-commerce']",B2C
Huawei,huawei.com,China,Guangdong,Shenzhen,over-10K,over-1b,1987.0,private,12000.0,1500000000.0,1987.0,business services,"['b2b', 'service-provider']",B2B
Zebra,zebra.com,United States,Illinois,Lincolnshire,over-10K,over-1b,1969.0,public,12000.0,1500000000.0,1969.0,manufacturing,"['b2b', 'mobile', 'saas']",B2B
F5,f5.com,United States,Washington,Seattle,5K-10K,over-1b,1996.0,public,7500.0,1500000000.0,1996.0,business services,"['b2b', 'b2g', 'service-provider']",B2B
Nespresso,nespresso.com,Netherlands,North Holland,Amstelveen,over-10K,over-1b,1986.0,public,12000.0,1500000000.0,1986.0,manufacturing,"['b2c', 'e-commerce']",B2C
3M,3m.com,United States,Minnesota,Unknown,over-10K,over-1b,1902.0,public,12000.0,1500000000.0,1902.0,manufacturing,"['b2b', 'b2c']",B2B
Shure,shure.com,United States,Illinois,Niles,1K-5K,200m-1b,1925.0,private,3000.0,600000000.0,1925.0,manufacturing,"['b2b', 'saas']",B2B
Netgear,netgear.com,United States,California,San Jose,1K-5K,200m-1b,1996.0,public,3000.0,600000000.0,1996.0,manufacturing,"['b2c', 'b2b', 'e-commerce']",B2C
Steelcase,steelcase.com,United States,Michigan,Grand Rapids,over-10K,over-1b,1912.0,public,12000.0,1500000000.0,1912.0,manufacturing,"['b2b', 'saas']",B2B
Schneider Electric,se.com,France,Bourgogne-Franche-Comté,Le Creusot,over-10K,over-1b,1836.0,public,12000.0,1500000000.0,1836.0,manufacturing,"['b2b', 'saas']",B2B
Khadas,khadas.com,China,Guangdong,Shenzhen,11-50,10m-50m,2014.0,private,30.5,30000000.0,2014.0,manufacturing,"['b2b', 'b2c', 'e-commerce']",B2B
HelloFresh,hellofresh.com,United States,New York,Unknown,over-10K,over-1b,2011.0,public,12000.0,1500000000.0,2011.0,retail,"['b2c', 'e-commerce']",B2C
Thermo Fisher Scientific,thermofisher.com,United States,Massachusetts,Waltham,over-10K,over-1b,1956.0,public,12000.0,1500000000.0,1956.0,manufacturing,"['b2b', 'service-provider']",B2B
BASF,basf.com,Netherlands,Gelderland,Arnhem,over-10K,over-1b,1865.0,public,12000.0,1500000000.0,1865.0,manufacturing,"['b2b', 'saas']",B2B
Razer,razer.com,United States,California,San Francisco,1K-5K,over-1b,2005.0,public,3000.0,1500000000.0,2005.0,manufacturing,"['b2c', 'e-commerce']",B2C
Square,squareup.com,United States,California,San Francisco,5K-10K,over-1b,2009.0,public,7500.0,1500000000.0,2009.0,software,"['b2b', 'saas']",B2B
Yandex Zen,yandex.ru,Russia,Unknown,Unknown,1K-5K,Unknown,2002.0,Unknown,3000.0,600000000.0,2002.0,business services,"['b2c', 'media']",B2C
Coinbase,coinbase.com,United States,California,San Francisco,5K-10K,over-1b,2012.0,public,7500.0,1500000000.0,2012.0,finance,"['b2c', 'b2b', 'saas']",B2C
Ko-fi,ko-fi.com,United Kingdom,England,London,1-10,Unknown,2019.0,nonprofit,5.5,600000000.0,2019.0,business services,"['b2c', 'saas']",B2C
American Express,americanexpress.com,United States,New York,Unknown,over-10K,over-1b,1850.0,public,12000.0,1500000000.0,1850.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Klarna,klarna.com,Sweden,Stockholm County,Stockholm,1K-5K,over-1b,2005.0,private,3000.0,1500000000.0,2005.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
Binance,binance.com,United States,Wisconsin,De Pere,over-10K,over-1b,2017.0,private,12000.0,1500000000.0,2017.0,finance,"['b2c', 'service-provider']",B2C
Wise,wise.com,Estonia,Harju County,Tallinn,5K-10K,over-1b,2011.0,private,7500.0,1500000000.0,2011.0,finance,"['b2b', 'b2c', 'saas']",B2B
Venmo,venmo.com,United States,New York,Unknown,501-1K,over-1b,2009.0,public,251000.0,1500000000.0,2009.0,finance,"['b2c', 'b2b', 'mobile', 'service-provider']",B2C
Cash App,cash.app,United States,New York,Unknown,1K-5K,over-1b,2013.0,public,3000.0,1500000000.0,2013.0,finance,"['b2c', 'mobile']",B2C
Exchanger24,exchanger24.org,Russia,Moscow,Moscow,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,finance,"['b2c', 'service-provider']",B2C
Kiva,kiva.org,United States,California,San Francisco,201-500,50m-100m,2005.0,nonprofit,350.5,75000000.0,2005.0,organizations,"['b2c', 'service-provider']",B2C
Payy,payy.link,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,finance,"['b2c', 'mobile']",B2C
Federal Reserve Board,federalreserve.gov,United States,Connecticut,Washington,1K-5K,10m-50m,1913.0,government,3000.0,30000000.0,1913.0,finance,"['b2g', 'service-provider']",B2G
Mastercard,mastercard.us,United States,New York,Purchase,11-50,Unknown,2010.0,public,30.5,600000000.0,2010.0,finance,"['b2b', 'b2c', 'b2g']",B2B
Goldman Sachs,goldmansachs.com,United States,New York,Unknown,over-10K,over-1b,1869.0,public,12000.0,1500000000.0,1869.0,finance,"['b2b', 'b2c', 'b2g']",B2B
Chase,chase.com,United States,New York,Unknown,over-10K,over-1b,2002.0,public,12000.0,1500000000.0,2002.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Capital One,capitalone.com,United States,Virginia,McLean,over-10K,over-1b,1994.0,public,12000.0,1500000000.0,1994.0,finance,"['b2c', 'b2b', 'saas']",B2C
Mollie,mollie.com,Netherlands,North Holland,Amsterdam,501-1K,50m-100m,2004.0,private,251000.0,75000000.0,2004.0,finance,"['b2b', 'service-provider']",B2B
Crypto.com,crypto.com,Singapore,Central Singapore,Singapore,5K-10K,over-1b,2016.0,private,7500.0,1500000000.0,2016.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
TD Canada Trust,td.com,Canada,Ontario,Toronto,over-10K,over-1b,1855.0,public,12000.0,1500000000.0,1855.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Bank of America,bankofamerica.com,United States,North Carolina,Charlotte,over-10K,over-1b,1998.0,public,12000.0,1500000000.0,1998.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Clover,clover.com,United States,California,San Francisco,1K-5K,200m-1b,2011.0,public,3000.0,600000000.0,2011.0,software,"['b2b', 'saas']",B2B
Virgin,virgin.com,United Kingdom,England,London,over-10K,1m-10m,1970.0,private,12000.0,5500000.0,1970.0,media and internet,"['b2b', 'b2c', 'service-provider', 'media']",B2B
Xe,xe.com,United States,California,Irvine,501-1K,10m-50m,1993.0,public,251000.0,30000000.0,1993.0,finance,"['b2c', 'b2b', 'saas']",B2C
UBS,ubs.com,Switzerland,Basel-Stadt,Basel,over-10K,over-1b,1862.0,public,12000.0,1500000000.0,1862.0,finance,"['b2b', 'b2c']",B2B
Central Bank of Russia,cbr.ru,Russia,Unknown,Unknown,501-1K,over-1b,1860.0,public,251000.0,1500000000.0,1860.0,finance,"['b2g', 'service-provider']",B2G
Trust Wallet,trustwallet.com,United Arab Emirates,Dubai,Dubai,201-500,1m-10m,2017.0,private,350.5,5500000.0,2017.0,software,"['b2c', 'mobile']",B2C
Wells Fargo,wellsfargo.com,United States,California,San Francisco,over-10K,over-1b,2014.0,public,12000.0,1500000000.0,2014.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
BitPay,bitpay.com,United States,Georgia,Atlanta,51-200,10m-50m,2011.0,private,125.5,30000000.0,2011.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
Y Combinator,ycombinator.com,United States,California,Mountain View,1K-5K,200m-1b,2005.0,Unknown,3000.0,600000000.0,2005.0,finance,"['b2b', 'service-provider']",B2B
Banco Central do Brasil,bcb.gov.br,Brazil,Distrito Federal,Unknown,1K-5K,1m-10m,1965.0,government,3000.0,5500000.0,1965.0,finance,['b2g'],B2G
Itaú,itau.com.br,Brazil,São Paulo,São Paulo,1K-5K,over-1b,1945.0,public,3000.0,1500000000.0,1945.0,finance,"['b2c', 'b2b', 'mobile', 'service-provider']",B2C
Flattr,flattr.com,Sweden,Skåne County,Staffanstorp,1-10,1m-10m,2010.0,private,5.5,5500000.0,2010.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
J.P. Morgan,jpmorgan.com,United States,New York,Unknown,over-10K,over-1b,1799.0,public,12000.0,1500000000.0,1799.0,finance,"['b2b', 'b2g', 'b2c', 'service-provider']",B2B
First Round,firstround.com,United States,California,San Francisco,201-500,10m-50m,2004.0,partnership,350.5,30000000.0,2004.0,finance,['b2b'],B2B
KuCoin,kucoin.com,Singapore,Central Singapore,Singapore,501-1K,50m-100m,2017.0,private,251000.0,75000000.0,2017.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Grab,grab.com,Singapore,Central Singapore,Singapore,over-10K,over-1b,2012.0,public,12000.0,1500000000.0,2012.0,transportation,"['b2c', 'b2b', 'mobile']",B2C
Bank of Canada,bankofcanada.ca,Canada,Ontario,Ottawa,1K-5K,200m-1b,1935.0,government,3000.0,600000000.0,1935.0,finance,"['b2g', 'service-provider']",B2G
Razorpay,razorpay.com,India,Karnataka,Unknown,1K-5K,50m-100m,2014.0,private,3000.0,75000000.0,2014.0,finance,"['b2b', 'saas']",B2B
JPMorgan Chase,jpmorganchase.com,United States,New York,Unknown,over-10K,over-1b,1823.0,public,12000.0,1500000000.0,1823.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
Authorize.net,authorize.net,United States,California,San Francisco,11-50,10m-50m,1996.0,public,30.5,30000000.0,1996.0,business services,"['b2b', 'service-provider', 'saas']",B2B
Reserve Bank of India,rbi.org.in,India,Maharashtra,Mumbai,5K-10K,over-1b,1935.0,public,7500.0,1500000000.0,1935.0,finance,"['b2g', 'service-provider']",B2G
Morgan Stanley,morganstanley.com,United States,New York,Unknown,over-10K,over-1b,1935.0,public,12000.0,1500000000.0,1935.0,finance,"['b2b', 'b2c', 'b2g', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2B
Worldline,worldline.com,France,Île-de-France,Paris,over-10K,over-1b,1970.0,public,12000.0,1500000000.0,1970.0,finance,"['b2b', 'b2g', 'service-provider']",B2B
HDFC Bank,hdfcbank.com,India,Maharashtra,Mumbai,over-10K,over-1b,1994.0,public,12000.0,1500000000.0,1994.0,finance,"['b2c', 'b2b']",B2C
Fidelity,fidelity.com,United States,Rhode Island,Smithfield,over-10K,over-1b,1946.0,private,12000.0,1500000000.0,1946.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Wefunder,wefunder.com,United States,Texas,Gun Barrel City,51-200,1m-10m,2011.0,private,125.5,5500000.0,2011.0,finance,"['b2b', 'b2c']",B2B
Bitget,bitget.com,Seychelles,Unknown,Unknown,1K-5K,1m-10m,2018.0,private,3000.0,5500000.0,2018.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Paul Graham,paulgraham.com,United States,Kentucky,Bowling Green,1-10,1m-10m,Unknown,Unknown,5.5,5500000.0,,finance,"['b2b', 'service-provider']",B2B
Techstars,techstars.com,United States,Colorado,Boulder,1K-5K,50m-100m,2006.0,private,3000.0,75000000.0,2006.0,finance,"['b2b', 'service-provider']",B2B
Mywebsite,yourwebsite.com,Luxembourg,Canton of Luxembourg,Luxembourg,Unknown,1m-10m,Unknown,Unknown,3000.0,5500000.0,,finance,[],Unknown
2Checkout,2checkout.com,United States,Florida,Coral Springs,51-200,10m-50m,2000.0,private,125.5,30000000.0,2000.0,finance,"['b2b', 'service-provider']",B2B
Midtrans,midtrans.com,Indonesia,Unknown,Unknown,51-200,10m-50m,2012.0,private,125.5,30000000.0,2012.0,finance,"['b2b', 'saas', 'service-provider']",B2B
SoFi - Social Finance,sofi.com,United States,California,San Francisco,5K-10K,over-1b,2011.0,private,7500.0,1500000000.0,2011.0,finance,"['b2c', 'service-provider']",B2C
OANDA,oanda.com,Poland,Masovian Voivodeship,Warsaw,501-1K,50m-100m,1996.0,private,251000.0,75000000.0,1996.0,finance,"['b2c', 'service-provider']",B2C
Mercado Pago,mercadopago.com.br,Brazil,São Paulo,Osasco,Unknown,1m-10m,2003.0,public,3000.0,5500000.0,2003.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
Flutterwave,flutterwave.com,United States,California,San Francisco,1K-5K,10m-50m,2016.0,private,3000.0,30000000.0,2016.0,finance,"['b2b', 'saas']",B2B
Tencent,tencent.com,China,Guangdong,Shenzhen,over-10K,over-1b,1998.0,public,12000.0,1500000000.0,1998.0,business services,"['b2c', 'b2b']",B2C
Fundera,fundera.com,United States,New York,Unknown,51-200,10m-50m,2013.0,private,125.5,30000000.0,2013.0,finance,"['b2c', 'service-provider']",B2C
Andreessen Horowitz,a16z.com,United States,California,Menlo Park,501-1K,50m-100m,2009.0,private,251000.0,75000000.0,2009.0,finance,"['b2b', 'service-provider']",B2B
Discover,discover.com,United States,Illinois,Carol Stream,over-10K,over-1b,1985.0,public,12000.0,1500000000.0,1985.0,finance,"['b2c', 'service-provider']",B2C
